timestamp,x,y,z,d
1613596892961,0.57495797,5.1330895,8.072945,0
1613596893007,-0.9055526,4.748118,5.8809066,0
1613596893056,-0.22658625,5.4797544,6.4947543,0
1613596893106,0.9139624,5.499865,8.177327,0
1613596893154,-0.8279839,6.092644,8.944396,0
1613596893201,0.989616,7.3155494,9.744984,0
1613596893251,0.9905736,6.9593077,11.985858,0
1613596893296,1.5029107,6.308113,8.638909,0
1613596893347,0.018569477,5.3973985,7.073168,0
1613596893395,0.9110895,4.6073456,6.136596,0
1613596893446,0.0875195,5.2154465,5.127245,0
1613596893496,0.049213942,5.430915,7.3393927,0
1613596893542,0.64103514,5.990177,7.0999823,0
1613596893592,0.17179178,6.6394563,10.114633,0
1613596893641,0.30203074,7.0397496,8.184989,0
1613596893689,-0.3711898,6.726601,10.120378,0
1613596893739,-0.5971927,5.9039893,9.333198,0
1613596893785,1.026964,5.8427,7.712871,0
1613596893833,-0.17966191,4.668634,6.4258037,0
1613596893884,0.40641344,5.168522,5.7621603,0
1613596893933,-0.43726695,4.8343053,5.6616073,0
1613596893982,0.28766617,5.39644,5.70087,0
1613596894029,0.40162525,6.2860875,8.96738,0
1613596894077,1.0193027,6.58104,10.052385,0
1613596894127,0.25510642,7.316508,8.207972,0
1613596894173,1.5345128,6.8654594,11.8498745,0
1613596894221,1.9022464,6.2717223,10.491941,0
1613596894269,1.0451591,5.261413,6.4899664,0
1613596894321,1.257755,4.8908067,6.935269,0
1613596894369,1.3899093,5.2240653,4.872513,0
1613596894415,-5.833199E-4,5.304507,6.6316967,0
1613596894465,1.2137035,6.0897713,7.3480105,0
1613596894516,0.9924889,6.4134536,8.234786,0
1613596894563,0.29724255,7.146048,8.915668,0
1613596894612,0.45238012,7.360559,8.26926,0
1613596894661,0.4849399,6.4996405,9.330325,0
1613596894709,1.0882528,6.3569527,7.541454,0
1613596894760,0.89672494,5.2767353,7.4993176,0
1613596894808,0.32118356,4.6628885,5.42124,0
1613596894863,-0.32522312,5.050732,5.4221973,0
1613596894901,-0.20743348,5.2939725,5.351332,0
1613596894952,0.122952156,6.4096227,6.1605377,0
1613596895001,1.284569,6.881739,9.3111725,0
1613596895048,1.0738883,7.6890287,10.264024,0
1613596895096,1.2730771,7.5137815,10.370321,0
1613596895146,1.1686946,6.458462,10.748589,0
1613596895193,1.2816961,5.722038,8.291286,0
1613596895244,0.4964316,5.421339,7.777033,0
1613596895290,0.93694574,5.12064,4.767172,0
1613596895338,0.14976607,5.178098,4.3218703,0
1613596895388,0.3029884,5.6013756,5.9939084,0
1613596895437,2.2900906,6.7333055,7.3432226,0
1613596895485,1.1648638,7.036877,9.241264,0
1613596895532,0.6400775,7.8939643,7.9360023,0
1613596895581,-0.9409854,7.454407,8.604434,0
1613596895631,0.24936059,7.3155503,8.821818,0
1613596895681,2.1435716,6.0007105,8.565171,0
1613596895731,1.4272573,5.12447,8.61018,0
1613596895777,0.2675557,5.074673,5.1368213,0
1613596895827,-0.70444834,4.9520955,5.068829,0
1613596895873,-0.060914613,5.8570642,4.8792167,0
1613596895923,-0.85671306,6.6040235,6.5435934,0
1613596895972,0.6314587,7.088589,8.484729,0
1613596896020,-0.059956983,7.674665,9.311172,0
1613596896069,0.8986401,7.259049,9.637728,0
1613596896117,1.6379378,7.066563,9.641559,0
1613596896167,0.9695054,6.2745957,6.81269,0
1613596896213,0.7616977,5.658833,7.3058743,0
1613596896263,0.61709416,5.8053517,6.4880505,0
1613596896312,-0.3223502,5.5659423,5.455715,0
1613596896363,0.9513104,5.994007,6.7581043,0
1613596896408,0.90534365,6.4077077,7.370994,0
1613596896458,0.56250864,6.934409,8.2635145,0
1613596896509,-0.26872241,7.5587897,8.067199,0
1613596896555,-0.9582228,7.3979073,9.140713,0
1613596896604,-1.255091,6.697872,8.05092,0
1613596896653,1.0030229,6.3377995,9.418427,0
1613596896702,0.43897322,5.356219,7.448563,0
1613596896752,-0.20073,5.112979,3.9723313,0
1613596896799,-1.0252577,5.2891846,4.75185,0
1613596896847,-0.27351058,6.218095,4.9835987,0
1613596896896,-0.5933622,6.879824,6.5072036,0
1613596896948,0.039637536,7.200633,8.58528,0
1613596896997,-0.7810595,8.105603,9.51898,0
1613596897047,0.0061201463,7.744572,10.015037,0
1613596897094,0.8785298,7.1077423,10.726562,0
1613596897141,1.1236856,5.8130136,6.9017506,0
1613596897191,-0.14710218,5.1350045,6.063816,0
1613596897241,0.34799746,5.4462376,4.8140965,0
1613596897288,-0.0896438,5.4816704,5.8186603,0
1613596897334,0.47632116,6.129992,7.066465,0
1613596897387,1.0815494,6.8759933,8.20031,0
1613596897433,0.15838483,7.1862683,9.7047615,0
1613596897484,0.02335766,7.8987527,8.494306,0
1613596897531,-0.50430167,7.4975014,9.05644,0
1613596897581,-0.6833803,6.5858283,7.656371,0
1613596897630,1.5460045,6.7447968,8.765318,0
1613596897679,0.5309066,5.1790557,7.1114736,0
1613596897725,-0.09060144,4.831433,5.0956426,0
1613596897774,-0.46216556,5.020088,5.5026393,0
1613596897824,-0.071448654,5.7833266,5.1559744,0
1613596897874,-0.60006565,6.6279645,6.38271,0
1613596897919,1.082507,7.0972085,8.496221,0
1613596897966,-0.2447814,7.628699,8.795962,0
1613596898016,1.0920835,7.6631727,10.506307,0
1613596898067,1.7078456,7.5195274,11.026304,0
1613596898118,0.91492,5.5161448,5.156932,0
1613596898161,0.4255663,5.5190177,7.2962985,0
